,,,,,,
,Sr No ,Particular ,Unique name ,Cost Price ,Selling Price,Profit after miscellenenous 
,SALADS ,,,,,
,1,Pineapple salad ,Golden Bloom Salad,55,240,155
,2,Avocado Corn Salad ,Horizon Harvest,110,330,190
,3,Hummus and Green Veggies salad ,Nest Garden Bowl,70,280,180
,4,Crispy Smash salad ,Crisp Flight Salad,50,250,170
,5,Beetroot Salad ,Burgundy Bloom,50,250,170
,6,Caesar Salad ,The Classic Return Caesar,70,240,140
,,,,,,
,SIDERS ,,,,,
,1,French Fries ,Golden Drift Fries,,,
,2,Peri Peri Fries ,Ember Trail Fries,,,
,3,Cheesy Fries ,Melted Nest Fries,,,
,4,Potato Wedges ,Rustic Roost Wedges,,,
,5,Cheesy Dip Nachos ,Gather Nachos,,,
,6,Nachos with Salsa Sauce ,Sunset Salsa Nachos,,,
,,,,,,
,APPETIZERS ,,,,,
,1,Mozzarella Malai Broccoli ,Cloud Broccoli,120,280,130
,2,Cheese corn balls ,Golden Orbit Bites,60,240,150
,3,Jalopaeno Popper Balls ,Fire Feather Pops,80,260,150
,4,Mash Potato and Crispy Veg ,Nest Crunch Bites,50,240,160
,5,Mushroom Duplex ,Twin Crane Mushrooms,80,320,210
,6,Crispy Parmasan Babycorn ,Golden Feather Babycorn,95,300,175
,7,Crispy Paneer in Butter Garlic ,Butter Ember Paneer,,,
,,,,,,
,SANDWICHES ,,,,,
,1,Veg Club Sandwich ,The Gather Club,75,265,220
,2,Tandoori Paneer Sandwich ,Crimson Tandoor,65,280,245
,3,BBQ Tofu Sandwich ,Smoked Horizon,55,270,245
,4,Spinach and Corn Sandwich ,Garden Nest,50,260,240
,5,Thousand Island Sandwich ,The Return Sandwich,50,220,200
,6,BBQ Mushroom sandwich ,Forest Ember,65,260,225
,,,,,,
,OPEN TOAST AND BRUSCHETTA ,,,,,
,1,Avacado Salsa ,Morning Perch,70,320,280
,2,Cheesy Open Sandwich ,Melted Roost,35,280,275
,3,Desi Paneer Tikka and Hummus ,Spice & Sky Toast,45,310,295
,4,Spinach and Mushroom Open Toast ,Forest Perch,45,330,315
,5,Garlic and Cheese Crostini ,Golden Crostini,40,320,310
,6,Tomato and Basil Bruschetta ,Tuscan Flight,55,320,295
,,,,,,
,BURGERS ,,,,,
,1,Korean Paneer Burger ,Seoul Nest,40,220,210
,2,Chilly Garlic Paneer ,Fire Wing Burger,80,250,200
,3,Burger in Mushroom Sauce ,Woodland Nest,55,280,255
,4,Kapali Burger ,The ORAH Signature Burger,,,30
,5,Thousand Island Burger ,Island Return Burger,55,210,185
,6,Aloo Tikki Burger ,Roots Burger,40,180,170
,,,,,,
,FLAT BREAD ,,,,,
,1,Mozaraella Flat Bread ,Golden Melt Flatbread,75,380,335
,2,Paneer Bhurji Flat bread ,Rustic Roost Flatbread,110,440,360
,3,Spicy Paneer Tikka ,Crimson Flame Flatbread,85,430,375
,4,Caramelised Mushroom ,Woodland Caramel Flatbread,110,460,380
,,,,,,
,PIZZA ,,,,,
,1,Farmhouse Pizza ,Harvest Flight,70,310,270
,2,BBQ Paneer ,Smoked Flight,110,380,300
,3,Sundried Tomato and Caramelised Mushroom ,Sunset Flight,100,420,350
,4,Four Cheese ,Four Feathers,135,480,375
,5,Pesto Paneer Pizza ,Emerald Flight,120,490,400
,,,,,,
,PASTA ,,,,,
,1,Alfredo ,Moonlit Alfredo,80,350,300
,2,Arabita ,Scarlet Arrabbiata,75,340,295
,3,Mix Sauce Pasta,,85,370,315
,4,Mac and Cheese ,Comfort Nest Mac,85,390,335
,5,Pesto in Spaghetti ,Green Horizon Spaghetti,95,450,385
,6,Butter Garlic in Spaghetti ,Golden Butter Spaghetti,75,430,385
,7,Lemon Butter in Spaghetti ,Sunrise Lemon Spaghetti,65,420,385
,8,Bolognese ,,110,470,390
